Yorum,Puan,Tarih,Durum
guzeldir,5,2026-01-27 13:15:50,1
yıldır kullanıyorum müşteri hizmetleri benı kayde almadı konuşmama izin vermeden kapattılar internet hızlı bitiyor hediye verilmiyor vodafone katı ucret oluyorum onlar ıse umursamadan mağdur ediyor sizde ıyı duşunun hat almak sadece basit bir sey degıl tum verileriniz kişisel bilgileriniz var ben hemen vodafone gecicem cunku müşteri memnuniyeti cok yüksek anlayıslılar adamlar işini severek yapıyorlar,1,2026-01-27 11:40:16,0
güzel beğendin,5,2026-01-27 11:12:33,1
çekim gücü zayıf,1,2026-01-27 10:07:51,0
,5,2026-01-27 09:40:04,1
fiyatlarinizi cokyüksettiniz aselsan telsizmikullanalim durumdan vazgecin,1,2026-01-27 01:16:41,0
uygulama süper herkese tavsiye ederim,5,2026-01-27 00:34:42,1
güzel bir uygulama memnunum,5,2026-01-27 00:19:03,1
bence iyi bir uygulama sala kazan dans internet çıkıyo sefer,5,2026-01-27 00:11:11,1
iyi,5,2026-01-26 20:19:45,1
kullanışlı pahalı,5,2026-01-26 20:16:42,1
güzel,5,2026-01-26 20:16:32,1
memnunum,5,2026-01-26 20:16:11,1
tek kelimeyle süper,5,2026-01-26 20:16:02,1
şebeke çekim gücünden dolayı memnunum,5,2026-01-26 20:15:23,1
iyi,5,2026-01-26 20:10:30,1
sevdim gb verirse,5,2026-01-26 20:09:25,1
çekim gücü kalite,5,2026-01-26 20:08:41,1
süper,1,2026-01-26 20:05:13,0
turkcell uygulamasından memnunum turkcell ailesi olmaktan mutluyum,5,2026-01-26 20:04:03,1
paketler pahalı böyle olmaz,1,2026-01-26 18:36:34,0
guzell,5,2026-01-26 17:13:10,1
salla kazandan aynı hediyeler çıkıyor,2,2026-01-26 15:07:11,0
önce yeğenime yeni bir faturalı hat aldım gb dakika sms aylık ödemesi lira ben yıldır kullandığım hattıma gb dakika sms lira ödediğimi öğrendim şunu demek istiyorum herkes faturasını kontrol etsin,1,2026-01-26 14:54:08,0
uygulamayı seviyorum salla kazanda internet veriyor sadece özel günlerde gb veriyor gb yada nadiren gb veriyor interneti biraz artırır misiniz bide benim fikrim salla kazan iki gün olsuntürktelekom müşterilerine sil supurden gb veriyor,4,2026-01-26 14:47:47,1
önceden tl tl tl tl yükleme seçeneği vardır geri gelsin lütfen düşük tl var şimdi eskisi olsun lütfennn,5,2026-01-26 12:48:47,1
güzel iyi,5,2026-01-26 11:09:50,1
güzel olmuş yapım ekibinde çalışan emektar insanların ellerine sağlık,5,2026-01-26 02:33:33,1
yıl üzere numarayı kullanıyorum paketleri pahalı yapıyorsunuz aksine bize indirim yapmanız gerekmiyor bnm binlerce uzun süre türkcelli kullananlar var yeni üye olanlara ucuza satıyorsunuz paketleri aksine olması gerekmezi,5,2026-01-25 23:53:06,1
aşiri uygun fiyat,5,2026-01-25 22:56:11,1
iyi,5,2026-01-25 22:39:49,1
yukarıdaki görünsün verdim tumbara hediye var kampanya resmen insani kandırıyorlar hediye olarak verilen dk olarak verilen aile içi hediye ay sonunda yüklenmedi resmen kandırıyorlar bizi,5,2026-01-25 22:23:49,1
anında uygun almaya ğiriyorum istediğim bir şeyi buluyorum teşekkür le r turksel,5,2026-01-25 21:01:59,1
türkiyenin iyi performans gösteren bir mobil şebekesi olduğu söylenebilir memnunum güvenli kaliteli,5,2026-01-25 20:50:04,1
çokmemnunum,5,2026-01-25 20:49:00,1
güzel,5,2026-01-25 20:46:45,1
gsm operatörleri arasında ihtiyacınızı gönderebileceğiniz bir uygulama,5,2026-01-25 20:43:14,1
sala kazan hoş geldi teşekürler,5,2026-01-25 20:39:24,1
herkeze tavsiye ederim hertarafta çekiyo,5,2026-01-25 20:27:47,1
iyi,5,2026-01-25 20:25:44,1
harika bir uygulama,5,2026-01-25 20:25:39,1
merhaba ben yildir turksel kullanıyorum memnunum herkese turksel kullanmalarını tavsiye ediyorum kaliteli iletişim hatti,5,2026-01-25 20:24:08,1
iyi,5,2026-01-25 20:16:57,1
güzel,5,2026-01-25 20:16:02,1
sonra bulursam öneri sunacağım,5,2026-01-25 20:13:40,1
memnunum,5,2026-01-25 20:11:42,1
uygulama iyi puani tvplas uygulaması yüzünden kırıyorum alt yapı olmadığı kutu kullanamıyorum televizyonumda tv uyumlu olmadığı tv plus i iptal etmek zorunda kaldım,4,2026-01-25 20:11:22,1
mükemmel,5,2026-01-25 20:11:21,1
mükemmel teşekkürler,5,2026-01-25 20:10:02,1
iyi bir sorun yaşamadım memnunum,5,2026-01-25 20:09:04,1
gayet memnunum,5,2026-01-25 17:19:19,1
turkcelldağın zirvesinden eteklerine düşen bir gsm operatörü maalesef kalitesini geçen gün kaybediyor,1,2026-01-25 16:32:17,0
güzel bir uygulama,5,2026-01-25 14:57:23,1
iyi,5,2026-01-25 09:57:58,1
ben böyle rezil uygulama görmedim adamlara haftasonu geçerli gb internet veriyor bize günlük gb veriyor biçim operatör sorsalar diğerlerinden iyi uygulama derler böyle devam edin bravo size,5,2026-01-25 09:35:56,1
ben yeni indirdim bakalım,1,2026-01-24 23:08:49,0
hediye veriyor,1,2026-01-24 21:14:02,0
teşekkürler,5,2026-01-24 20:53:00,1
memnunum,5,2026-01-24 20:52:16,1
iyi memnunum,5,2026-01-24 20:50:00,1
tavsiye ederim,5,2026-01-24 20:47:08,1
güzel beğendimiyiki turkcell e geçmişim,5,2026-01-24 20:40:13,1
turkcell e bağlan hayata,5,2026-01-24 20:38:56,1
turkcellin altyapısı gayet iyi interneti iyi cekiyo biraz pahalı onun dışında ta bişey yok,5,2026-01-24 20:31:17,1
başarılı,5,2026-01-24 20:18:25,1
aşırı dercede iyi çekiyor ben bayıldım,5,2026-01-24 20:17:10,1
teşekkürler,5,2026-01-24 20:15:51,1
güzel olmuş ellerine emeğine sağlık,5,2026-01-24 20:07:13,1
harika,5,2026-01-24 20:05:21,1
kalite,5,2026-01-24 20:05:18,1
güzel,4,2026-01-24 20:00:55,1
iyi,5,2026-01-24 19:22:55,1
biraz pahalı karşılığını cidden alıyorsunuz,5,2026-01-24 17:11:04,1
güzel,5,2026-01-24 14:35:46,1
türkcell uygulaması pahalı artık bari telsiz kullanım borcu olmasa,1,2026-01-24 12:01:47,0
muhteşem uygulama teşekkürler turkcell,5,2026-01-24 11:12:28,1
fayisiz kredi almak istiyorum,5,2026-01-24 07:15:59,1
iyi operatör uygulaması olduğu kesin ancak koyu tema gelirse tam puanı hakedecektir,4,2026-01-24 02:32:34,1
hayatımda gördüğüm dolap işletme türlü tiyatro var,1,2026-01-24 01:09:42,0
beğendim,5,2026-01-23 23:04:46,1
yazik supheli islem var diyorum musteri himetlerine baglanamadimdefalarca aramama ragmen magduriyet yasarsam sorumluluk size aittir,1,2026-01-23 22:57:49,0
uygulamayı güncelliyorum gündür uğraşıyorum silip tekrar yüklüyorum gündür uygulamaya giremiyorum hata veriyor,5,2026-01-23 22:29:40,1
iyi,5,2026-01-23 22:06:12,1
güzel,5,2026-01-23 20:54:03,1
mükemmel,5,2026-01-23 20:46:58,1
süper,5,2026-01-23 20:43:47,1
güzel olmuş ellerine sağlık güzel beğendim â aaâaaâaaaa,5,2026-01-23 20:41:05,1
iyi,5,2026-01-23 20:39:47,1
iyi,5,2026-01-23 20:38:02,1
iyi,5,2026-01-23 20:37:09,1
iy tek sıkıntı şebeke güzel çekmiyo,5,2026-01-23 20:32:00,1
fatura ödeme kısmı hızlı düzgün çalışıyor servislerim paketlerim sayfası efektif estetik bir tasarıma sahip eski tasarıma göre yeni tasarım iyi işlevsel olmuş,5,2026-01-23 20:27:45,1
memnunum zaman giresun espiyede ahmet beyin türksel bayisine gitsem bana göre tim bir espiyede türksel ahmet beyin kendisi personelleri cana yakın güler yüz memnunum hepsine teşekkür ederim,5,2026-01-23 20:24:29,1
,5,2026-01-23 20:16:18,1
iyiiii,5,2026-01-23 20:16:17,1
güzel uygulama olmuş hat turkcell sizden memnunum iyi firma yapmışlar adamlar,5,2026-01-23 20:15:19,1
hizmet bedeli yüksek değer,5,2026-01-23 20:08:23,1
para tuzağı,1,2026-01-23 20:04:45,0
ultimega iyi,5,2026-01-23 20:02:37,1
memunum,5,2026-01-23 19:23:49,1
yenihaber aldım bakacagım çekimine konuşmasına görüntüsüne ona göre not vereyim,1,2026-01-23 19:23:25,0
iyi,5,2026-01-23 19:16:31,1
turkcell iyi paketler pahalı salla kazanda hediye internet veriyor,2,2026-01-23 18:52:26,0
salla kazan günlük bir gb nedir diğertelekominosyon haftalık gb veriyor ara sıra,1,2026-01-23 17:31:01,0
iyi bir operatör,5,2026-01-23 17:04:48,1
sevgili turkcell eski kullanıcılarınız emekliler öğrenciler ekonomik fiyatlı tarifeler olmalı azından numara taşıyanlara uyguladığınız tarife uygulanmalı yoksa yıllık numaramı taşımak zorunda kalacağım,2,2026-01-23 14:36:02,0
uygulamaya giriş yapamıyorum ilgilenirmisiniz,1,2026-01-23 14:03:25,0
arkadaşlar mukemmel hemen indirin salla kazan var internet veriyor bence cok guzel,5,2026-01-23 13:33:25,1
salla kazan aynı şeyleri veriyor bir güncelleme gelmeli turkcelll,1,2026-01-23 11:44:24,0
boyke rezillik görmedim ay bile olmadi aldiğim a telefonuma bintl fiyat biçiyir he ben bine alayim sana vereyim sen yine ye sat alnayin kardeşim bunlardan telefon bak bizkerden sifir alip size çajiyirlar tonla para kazaniyirlar sirf bunu ögrenmek ugruna fiyat aldim nah satarim siyguncular herseyleri piyasadan katina satiyirkar bizden bedavaya aliyorlar,1,2026-01-23 07:51:52,0
saçmasapan yazılar çıkıyor,1,2026-01-23 00:39:27,0
evimizin wifisini turkcell den kullanıyoruz oyundasosyal medya vb uygulamalarda çekmiyor zaten bence sizde kullanmayın bir yıldızı bile haketmiyor,1,2026-01-22 22:42:54,0
salla kazan yaptım kazandım,1,2026-01-22 20:54:55,0
gayet güzel sadece sil süpürden fazla aynı şeyler çıkıyor gb gb arası internet verse turk telekom güzel olacak nerdeeee,5,2026-01-22 20:44:05,1
cokiyi,5,2026-01-22 20:40:44,1
kadar gb olduğu gözüküyo kadar falan iyi i hakediyor,5,2026-01-22 20:34:36,1
on numara senedir kullanıyorum önce kullanmadıgıma pişmanım,5,2026-01-22 20:32:41,1
görevli personelin yaklaşımı iyi,5,2026-01-22 20:27:51,1
uygulama guzel kolay anlasilir,5,2026-01-22 20:27:31,1
ممنونه,5,2026-01-22 20:21:29,1
iyi,5,2026-01-22 20:18:41,1
güzel,5,2026-01-22 20:14:20,1
teşekkürler turkcell,5,2026-01-22 20:08:35,1
yardımcı oluyor acayip güzel bir uygulama,5,2026-01-22 20:06:28,1
mükemmelll,5,2026-01-22 20:02:44,1
yapay zekası kötü bişey örenemedim,1,2026-01-22 19:58:26,0
operatör kötü interney hızlı gidiyo internete gşrmeye gelmiyo internetiniz fazla aylıkta olsa normalden hıxlı gidiyo,5,2026-01-22 19:51:00,1
iyi salla kazan sürekli uygulama geçerli gb veriyor normal internet verse,5,2026-01-22 19:37:02,1
güncelleme gelsin,1,2026-01-22 19:08:52,0
uygulama harika,5,2026-01-22 18:51:09,1
